GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P042001,P042001.2000,P042002,P042002.2000,P042003,P042003.2000,P042004,P042004.2000,P042005,P042005.2000,P042006,P042006.2000,P042007,P042007.2000,P042008,P042008.2000,P042009,P042009.2000,P042010,P042010.2000
53001,050,53,001,99999,999,,,Adams County,18728,6242,16428,5773,162,245,161,112,28,15,0,,133,89,0,,1,133,0,0,0,0,1,133
53003,050,53,003,30300,999,,,Asotin County,21623,9872,20551,9111,174,342,150,171,47,31,0,,103,117,0,,24,171,0,0,0,0,24,171
53005,050,53,005,28420,999,,,Benton County,175177,68618,142475,55963,1426,823,1128,622,692,264,36,,393,276,7,,298,201,0,0,0,0,298,201
53009,050,53,009,38820,999,,,Clallam County,71404,35582,64525,30683,1899,1868,1293,1624,1037,1313,19,,237,281,0,,606,244,9,63,103,36,494,145
53013,050,53,013,99999,999,,,Columbia County,4078,2136,4064,2018,75,78,46,48,7,2,0,,39,4,0,,29,30,0,0,0,0,29,30
53015,050,53,015,31020,999,,,Cowlitz County,102410,43450,92948,38624,1207,1420,892,952,348,289,28,,512,594,4,,315,468,0,0,0,0,315,468
53017,050,53,017,48300,999,,,Douglas County,38431,16004,32603,12944,190,293,117,195,0,13,12,,105,166,0,,73,98,0,0,0,0,73,98
53025,050,53,025,34180,999,,,Grant County,89120,35083,74698,29081,1245,1093,542,564,239,173,27,,248,344,28,,703,529,291,100,0,0,412,429
53027,050,53,027,10140,999,,,Grays Harbor County,72797,35166,67194,32489,2731,640,2477,442,2145,154,26,,306,192,0,,254,198,0,0,4,9,250,189
53029,050,53,029,36020,500,,,Island County,78506,40234,71558,32378,1466,1479,325,219,57,36,0,,262,183,6,,1141,1260,2,0,1064,1201,75,59
53031,050,53,031,99999,999,,,Jefferson County,29872,17767,25953,14144,631,192,507,72,420,62,0,,87,10,0,,124,120,0,0,0,0,124,120
53033,050,53,033,42660,500,,,King County,1931249,851261,1737034,742237,37131,37619,10490,12525,3713,4402,539,,6013,6849,225,,26641,25094,12247,11136,362,232,14032,13726
53035,050,53,035,14740,500,,,Kitsap County,251133,107367,231969,92644,8722,7225,1859,3833,410,2392,39,,1319,1337,91,,6863,3392,26,0,5587,2883,1250,509
53037,050,53,037,21260,999,,,Kittitas County,40915,21900,33362,16475,2417,2163,251,205,118,73,12,,121,132,0,,2166,1958,2123,1909,0,0,43,49
53039,050,53,039,99999,999,,,Klickitat County,20318,9786,19161,8633,198,209,37,107,32,44,4,,1,63,0,,161,102,0,0,0,0,161,102
53041,050,53,041,16500,999,,,Lewis County,75455,34050,68600,29585,941,1019,689,845,161,170,205,,323,438,0,,252,174,0,0,0,0,252,174
53043,050,53,043,99999,999,,,Lincoln County,10570,5776,10184,5298,94,125,81,90,13,2,0,,68,88,0,,13,35,0,0,0,0,13,35
53045,050,53,045,43220,500,,,Mason County,60699,32518,49405,25515,2332,2331,2208,2147,1951,1930,51,,206,157,0,,124,184,0,0,0,0,124,184
53047,050,53,047,99999,999,,,Okanogan County,41120,22245,39564,19085,640,851,382,367,158,96,24,,200,98,0,,258,484,0,0,0,0,258,484
53049,050,53,049,99999,999,,,Pacific County,20920,15547,20984,13991,292,326,173,230,21,45,98,,54,61,0,,119,96,0,0,14,10,105,86
53053,050,53,053,42660,500,,,Pierce County,795225,325375,700820,277060,17945,21510,8874,8013,5282,4749,89,,2656,2602,847,,9071,13497,2459,2760,3294,6623,3318,4114
53055,050,53,055,99999,999,,,San Juan County,15769,13313,14077,9752,187,119,60,70,0,6,0,,60,64,0,,127,49,77,7,0,0,50,42
53057,050,53,057,34580,500,,,Skagit County,116901,51473,102979,42681,1624,1841,650,893,194,137,45,,411,605,0,,974,948,119,142,0,0,855,806
53059,050,53,059,38900,999,,,Skamania County,11066,5628,9872,4576,25,64,25,56,25,26,0,,0,30,0,,0,8,0,0,0,0,0,8
53061,050,53,061,42660,500,,,Snohomish County,713335,286659,606024,236205,10397,9112,5769,3485,3710,2475,71,,1904,879,84,,4628,5627,259,70,1440,2164,2929,3393
53063,050,53,063,44060,999,,,Spokane County,471221,201434,417939,175005,14692,14699,5666,6591,3055,3396,266,,2044,2350,301,,9026,8108,5739,3913,513,698,2774,3497
53065,050,53,065,99999,999,,,Stevens County,43531,21156,40066,17599,266,362,177,245,37,38,0,,140,204,0,,89,117,0,0,0,0,89,117
53067,050,53,067,36500,500,,,Thurston County,252264,108182,207355,86652,4222,3398,1971,1898,948,780,272,,711,784,40,,2251,1500,1169,743,0,0,1082,757
53069,050,53,069,99999,999,,,Wahkiakum County,3978,2067,3824,1792,48,59,38,58,6,10,0,,32,48,0,,10,1,0,0,0,0,10,1
53073,050,53,073,13380,999,,,Whatcom County,201140,90665,166814,73893,5704,4969,1259,1129,450,289,57,,742,750,10,,4445,3840,3582,3190,0,0,863,650
53075,050,53,075,39420,999,,,Whitman County,44776,19323,40740,16676,5948,5473,164,235,38,44,0,,126,178,0,,5784,5238,5738,5079,0,0,46,159
53077,050,53,077,49420,999,,,Yakima County,243231,85474,222581,79174,3485,3737,2533,2417,1288,1077,86,,1159,1221,0,,952,1320,91,55,4,9,857,1256
53007,050,53,007,48300,999,,,Chelan County,72453,35465,66616,30407,928,1082,557,616,302,248,14,,241,301,0,,371,466,32,39,0,0,339,427
53011,050,53,011,38900,999,,,Clark County,425363,167413,345238,134030,3210,3044,1691,2181,946,986,4,,695,1048,46,,1519,863,0,0,0,3,1519,860
53019,050,53,019,99999,999,,,Ferry County,7551,4403,7260,3775,252,220,50,24,24,13,0,,17,0,9,,202,196,0,0,0,0,202,196
53021,050,53,021,28420,999,,,Franklin County,78163,24423,49347,16084,1846,914,1727,794,1623,606,6,,98,116,0,,119,120,0,0,0,0,119,120
53023,050,53,023,99999,999,,,Garfield County,2266,1233,2397,1288,36,37,36,37,0,4,0,,36,33,0,,0,0,0,0,0,0,0,0
53051,050,53,051,99999,999,,,Pend Oreille County,13001,7936,11732,6608,98,100,94,70,25,32,0,,69,38,0,,4,30,0,0,0,0,4,30
53071,050,53,071,47460,999,,,Walla Walla County,58781,23451,55180,21147,4489,5301,2695,3036,2410,2449,0,,285,545,0,,1794,2265,1571,1652,0,0,223,613
